,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist 1,"$57K-$94K
(Glassdoor Est.)","At NGL, we strive to make data-driven decisions for our internal and external customers. We endeavor to utilize advanced analytic tools and processes to help NGL use data as an asset. To help advance us even further, we’re searching for a Data Scientist to join our team. The ideal candidate will be responsible for performing complex analyses, creating advanced visualizations, applying advanced predictive analytics and machine learning techniques, and structuring data in an optimal format for NGL.

Perform advanced analytics using predictive modeling, machine learning, and other advanced techniques.
Builds large and complex information sets using both unstructured and structured data.
Provides detailed insights to others on issues.
Use data driven insights to recommend opportunities for growth, competitiveness, and profitability.
Builds creative visualizations that tell a story.
Effectively communicate results of advanced analytics to both technical and non- technical audiences.
Recommend and develop new metrics to advance decision making.
Provides leadership, coaching, and/or mentoring to others.
Share ownership of the solution deployment, testing, quality, monitoring, and operational excellence with the rest of the agile team
Participate in regular team and stakeholder meetings
Continually develop skill sets and abilities to keep them relevant, current, and applicable to NGL's current and future needs.
Follow data science development life cycle and quality assurance best practices and governance
Perform other duties and responsibilities as needed

Critical thinking, analytical, and problem solving skills; strong technical and non-technical communication (verbal, written, listening) and interpersonal skills; highly detail oriented; ability to work independently and in a team; excellent time and priority management; proven abilities to take initiative and be innovative; working knowledge of Scrum
Required Proficiencies:
Ability to lead multiple projects while providing effective input and briefing senior leaders.
Strong problem-solving abilities.
Ability and willingness to learn and extend skills and mentor others.
Strong oral and written communication skills.
Experience in statistical modeling, machine learning, and other advanced techniques.
Experience building structured and unstructured data sets together.
Experience creating visualizations in Tableau, PowerBI, or other similar BI tool.",3.2,"National Guardian Life Insurance Company
3.2","Madison, WI",-1,201 to 500 Employees,1909,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1
1,"Data Scientist - Statistics, Early Career","$56K-$97K
(Glassdoor Est.)","*Organization and Job ID**
Job ID: 310918

Directorate: National Security Directorate

Division: Computing & Analytics

Group: Applied Statistics & Computational Modeling
*Job Description**
This position is for a Scientist in Data Science and Applied or Mathematical Statistics who will provide scientific and technical research within the National Security Directorate (NSD) supporting the data analytics capabilities of the Computational Analytics Division. The Scientist will develop and apply fundamental mathematical or statistical theory to advance analytic solutions in various scientific domains. The Scientist must be able to draw from a strong statistical background, in areas including experimental design, advanced statistical modeling (e.g. mixed linear models, nonparametric models, etc.), machine learning, and computer simulations, to recognize patterns, characterize uncertainty, and develop predictive models using structured and unstructured data. The Scientist will produce solutions driven by domain science and mathematical statistical science from complex and high-dimensional datasets and design, develop, and evaluate advanced algorithms that lead to optimal value extraction from data. In addition to technical research this position expects participation and career development in task management, proposal writing, business development, and publishing.

Operating on the data-information-knowledge continuum, staff at PNNL employ diverse methods to confront significant problems of national interest from distilling distributed data into knowledge that supports decision processes to enabling resilient technologies that enhance computing at extreme scales. Our research portfolio spanning from basic to applied includes statistical modeling and experimental design, applied statistics, applied mathematics, machine learning, operations research, optimization, and other advanced statistical and mathematical domains.

Computing researchers and practitioners work side by side to apply advanced theories, methods, algorithms, models, evaluation tools and testbeds, and computational-based solutions to address complex scientific challenges affecting energy, biological sciences, the environment, and national security. Core domain knowledge is beneficial, such as in the nuclear, biological, energy, materials, or chemical science spaces.
*The hiring level will be determined based on the education, experience, and skill set of the successful candidate based on the following:**
*Level II** : Leads specific tasks of the project to meet scope, schedule and budget. Expected to contribute professionally, building a professional reputation for technical expertise. Fully applying and interpreting standard theories, principles, methods, tools and technologies. Contributes technical content to proposals and develops business through excellent project performance.
*Level III:** Manages small to moderate projects and/or major project tasks. Integrates intellectual and technical capabilities of work teams. Enhances technical/professional skills of junior staff through active mentoring and training. Generates ideas for new proposals and participates in business development activities
*Minimum Qualifications**
+ BS/BA with 2 years of experience, MS/MA with 0 years of experience, or PhD with 0 years of experience
*Preferred Qualifications**
+ BS/BA with 5 years of experience, MS/MA with 3 years of experience, or PhD with 1 year of experience, focused in statistics with experience involving increasing levels of scientific research, task management, and programmatic responsibility

+ Position requires ability to apply theories and develop technical approaches with minimal oversight

+ Position requires the ability to effectively team with scientists and engineers to develop creative solutions to complex problems
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
Due to business needs and client space, US Citizenship is required:

The Pacific Northwest National Laboratory is subject to the Department of Energy Unclassified Foreign Visits & Assignment Program site, information, technologies, and equipment access requirements.

_Directorate:_ _National Security_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Appld Stats & Comp Modeling_

_Opening Date:_ _2020-06-03_

_Closing Date:_ _2020-09-18_",3.8,"PNNL
3.8","Richland, WA",-1,1001 to 5000 Employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),-1
2,Principal Scientist,-1,"Myeloid Therapeutics **Role: *Principal Scientist, Translational SciencesMyeloid Therapeutics is an immuno-oncology company developing its proprietaryATAKTM myeloid cell program to cure cancer. ATAKTM cells are autologous myeloid cells that have been engineered to unleash their power to cure cancer. Our platform technology has demonstrated activity against hematological and solid tumor targets in preclinical models and we are translating these findings to the clinic.*Purpose: *We are seeking an energetic and committed Principal Scientist that will be responsible for building the pre-clinical team within the Translational Sciences group. The successful candidate will be an outstanding scientist with expertise in immunology and experience in overseeing the design, execution and interpretation of all in vivo pharmacology studies.S/he will also be expected to develop and maintain strong collaborations and relations with external experts in the non-clinical and clinical fields of immunology, immuno- oncology and autoimmune diseases. This individual will join a dynamic, rapidly growing, and highly collaborative team that combines significant drug discovery experience, including with pioneering technologies driving novel biological platforms.*Essential Job Responsibilities: *• Propose, plan and manage and execute studies to characterize the anti-tumor activity of Myeloid’s proprietary cell therapies• Lead a team of 1-3 scientists/ research associates• Responsible for preparation of study reports, regulatory filings and project presentations• Interface with external partners, clinical and academic collaborators, and CROs• Provide high-level updates and advice to senior management, including evaluation of data and their potential impact on drug programs and clinical/regulatory strategy• Provide development opportunities and mentoring to direct reports*Qualifications: *Required:• PhD. with more than 8 years of experience in immunology, or MS with 10+ years• At least 5 years of experience working with rodents in a biopharmaceutical setting• Deep understanding of rodent experimental models in both immuno-oncology and autoimmunity• Proven experience in designing and executing _in vivo_ experiments, including hands-on experience with IP, IV, IP, PO injection, blood collection blood and tissue harvest• Driven to deliver results to meet the company’s goals and timelines with the ability to handle multiple projects in parallel• Rigorous with strong problem-solving and analytical skills• Proficient in data collection/documentation of all study results in the form of notebook reports and regulatory documents• Strong leadership, interpersonal and communication skills with an enthusiasm for participating in a fast-paced environment characterized by rigorous science and innovative thinking• Ability to follow and promote safety instructions and regulations• A team player and mentor, who listens effectively and invites response and discussion. A collaborator who communicates in an open, clear, complete, timely and consistent mannerPreferred• Experience with flow cytometry (FACS and cell sorting), T cell activation assays, ELISA and/or histology• Experience with engaging and managing external efforts with contract research organizations and academic collaborators• Experience in cell therapies• Contributed to the authorship of regulatory submission documents• Broad disease related experience with firsthand knowledge in immno-oncology and/or autoimmune diseases• Experience working within start up environmentJob Type: Full-timeBenefits:* 401(k)* Dental Insurance* Health Insurance* Paid Time Off* Vision InsuranceSchedule:* Monday to FridaySupplemental Pay:* Bonus PayExperience:* In vivo models: 8 years (Required)Education:* Doctorate (Required)Work authorization:* United States (Required)Company's website:* https://www.myeloidtx.com/Benefit Conditions:* Only full-time employees eligibleWork Remotely:* No",-1,Myeloid Therapeutics,"Cambridge, MA",-1,-1,-1,-1,-1,-1,-1,-1
3,"Senior Scientist, Molecular Biology",-1,"Directed Genomics is looking for a Senior Scientist with extensive molecular biology experience to join our dynamic, collaborative team developing cutting-edge genomic technologies in Watertown, MA. As part of our R&D group, key responsibilities will include the development and optimization of novel NGS library preparation methods, data analysis, and reporting results both internally and externally.Requirements:· 4+ years of molecular biology research experience· 2+ years of laboratory experience with Next Generation Sequencing· Extensive experience in assay design and analysis· Ability to solve complex problems independently and as part of a team· Ability to work on in a fast-paced environment· Ability to work collaboratively and communicate well· Applications and/or product development experience preferred· Experience with bioinformatics tools desirable· Some unix/linux experience preferred· M.S. or Ph.D. requiredTo apply, please submit a cover letter and CV.Job Type: Full-timeBenefits:* 401(k)* Dental Insurance* Disability Insurance* Flexible Spending Account* Health Insurance* Life Insurance* Paid Time Off* Parental LeaveSchedule:* Monday to FridayAdditional Compensation:* BonusesWork Location:* One locationCompany's website:* www.directedgenomics.comWork Remotely:* No",-1,Directed Genomics,"Watertown, MA",-1,-1,-1,-1,-1,-1,-1,-1
4,Scientist/Senior Scientist Pharmacology-Translational Science,-1,"Company Summary: *Aldeyra Therapeutics is a biotechnology company devoted to developing and commercializing next-generation medicines to improve the lives of patients with immune-mediated diseases. Aldeyra’s lead investigational drug product candidates are potential first-in-class treatments in development for dry eye disease, allergic conjunctivitis, and proliferative vitreoretinopathy. The company is also developing other product candidates for retinal and systemic inflammatory diseases.*Position Summary: *The scientist in this role will assist project teams to design, execute, and interpret pharmacology studies to facilitate the proof-of-concept of novel ideas, and eventual translation to the clinic.Responsibilities include:• Contract, manage, analyze, interpret, and report on in vitro and in vivo pharmacology studies for small molecule drug candidates.• Identify and select CROs to conduct in vitro and in vivo pharmacology studies.• Design studies; review and revise study protocols.• Manage and serve as study monitor on studies.• Ensure studies are conducted as designed.• Troubleshoot problems with studies.• Ensure appropriate contract documents are in place with CROs.• Work with CRO to develop study protocols.• Interpret study data.• Review and revise study reports.• Write study reports and addenda, as needed.• Present study results to team and senior management.*Education/Qualification/Requirements*• Strong in vivo pharmacology background to inform CRO management• Ph.D. in Pharmacology or closely related field• 4 to 8 years of experience in biotech/small companies conducting and managing pharmacology studies. Must have extensive experience designing, executing, and interpreting in vivo pharmacology studies.• Experience identifying, selecting, and managing contract laboratories.• Experience with small molecules.• Broad therapeutic area experience, including experience in immunology and oculardisease.• Experience working cross-functionally and on drug discovery/development project teams.• Experience drafting pharmacology sections of INDs and/or other regulatory documents is a plus.• Experience with academic and industry collaborations.• Excellent written and verbal communication skills.• Ability to manage multiple projects simultaneously.• Budget, cost, and time management skills.• Expertise with MS Office and statistical analysis programs.• Leadership and Communication: Excellent written and verbal communicator with the ability to facilitate/articulate recommendations and key decision points to senior management; demonstrated experience reducing complex subjects to key points; ability to develop a strong network across company.• Relationship Management: Ability to develop new business relationships and to nurture partnerships with internal and external stakeholders. Ability to provide strong cross-functional team leadership to maintain alignment and to set and meet collaborative operational goals.Job Type: Full-timePay: $0.00 per hourSchedule:* Monday to FridayCompany's website:* https://www.aldeyra.com/Work Remotely:* Temporarily due to COVID-19",-1,"Aldeyra Therapeutics, Inc.","Lexington, MA",-1,-1,-1,-1,-1,-1,-1,-1
5,Scientist/Senior Scientist Pharmacology-Translational Science,-1,"Company Summary: *Aldeyra Therapeutics is a biotechnology company devoted to developing and commercializing next-generation medicines to improve the lives of patients with immune-mediated diseases. Aldeyra’s lead investigational drug product candidates are potential first-in-class treatments in development for dry eye disease, allergic conjunctivitis, and proliferative vitreoretinopathy. The company is also developing other product candidates for retinal and systemic inflammatory diseases.*Position Summary: *The scientist in this role will assist project teams to design, execute, and interpret pharmacology studies to facilitate the proof-of-concept of novel ideas, and eventual translation to the clinic.Responsibilities include:• Contract, manage, analyze, interpret, and report on in vitro and in vivo pharmacology studies for small molecule drug candidates.• Identify and select CROs to conduct in vitro and in vivo pharmacology studies.• Design studies; review and revise study protocols.• Manage and serve as study monitor on studies.• Ensure studies are conducted as designed.• Troubleshoot problems with studies.• Ensure appropriate contract documents are in place with CROs.• Work with CRO to develop study protocols.• Interpret study data.• Review and revise study reports.• Write study reports and addenda, as needed.• Present study results to team and senior management.*Education/Qualification/Requirements*• Strong in vivo pharmacology background to inform CRO management• Ph.D. in Pharmacology or closely related field• 4 to 8 years of experience in biotech/small companies conducting and managing pharmacology studies. Must have extensive experience designing, executing, and interpreting in vivo pharmacology studies.• Experience identifying, selecting, and managing contract laboratories.• Experience with small molecules.• Broad therapeutic area experience, including experience in immunology and oculardisease.• Experience working cross-functionally and on drug discovery/development project teams.• Experience drafting pharmacology sections of INDs and/or other regulatory documents is a plus.• Experience with academic and industry collaborations.• Excellent written and verbal communication skills.• Ability to manage multiple projects simultaneously.• Budget, cost, and time management skills.• Expertise with MS Office and statistical analysis programs.• Leadership and Communication: Excellent written and verbal communicator with the ability to facilitate/articulate recommendations and key decision points to senior management; demonstrated experience reducing complex subjects to key points; ability to develop a strong network across company.• Relationship Management: Ability to develop new business relationships and to nurture partnerships with internal and external stakeholders. Ability to provide strong cross-functional team leadership to maintain alignment and to set and meet collaborative operational goals.Job Type: Full-timePay: $0.00 per hourSchedule:* Monday to FridayCompany's website:* https://www.aldeyra.com/Work Remotely:* Temporarily due to COVID-19",-1,"Aldeyra Therapeutics, Inc.","Lexington, MA",-1,-1,-1,-1,-1,-1,-1,-1
6,AWS Data Lab Solution Architect,"$90K-$143K
(Glassdoor Est.)","· Highly technical and analytical, possessing seven or more years of Database and/or Analytics Systems development and deployment experience, IT systems and engineering experience, security and compliance experience, etc.· Possess significant experience of software development and/or IT and implementation/consulting experience.· Strong verbal and written communications skills are a must, as well as the ability to work effectively across internal and external organizations and virtual teams.· Ability to think understand complex business requirements and render them as prototype systems with quick turnaround time.· Implementation and tuning experience in the Big Data Ecosystem, (such as EMR, Hadoop, Spark, R, Presto, Hive), Database (such as Oracle, MySQL, PostgreSQL, MS SQL Server), NoSQL (such as DynamoDB, HBase, MongoDB, Cassandra, design principles) and Data Warehousing (such as Redshift, Teradata, Vertica, schema design, query tuning and optimization) and data migration and integration.· Track record of implementing AWS services in a variety of business environments such as large enterprises and start-ups.· Knowledge of foundation infrastructure requirements such as Networking, Storage, and Hardware Optimization.· BS level technical degree required; Computer Science or Mathematics background preferred. [DB1]· AWS Certification, eg. AWS Solutions Architect, Developer, or AWS Certified Big Data - SpecialtyAre you a data and analytics specialist? Do you have deep expertise in AWS services for managing data at speed and scale? Do you think big about how data can change the world, and love building software? Would you like a career that gives you opportunities to help customers and partners use cloud computing services to build new solutions, faster, and at lower cost?At AWS, we’re hiring highly technical cloud computing architects and engineers to collaborate with our customers on building solutions in database, data management, and analytics. AWS Data Labs are a Seattle, AWS headquarters based facility where customers come to build data and analytics platforms. You will focus on real time and batch-based data processing, business intelligence, analytics, and machine learning systems. These solutions are built alongside the customer and quickly put into production use in a matter of weeks. You'll work closely with AWS Field Teams including Solution Architects, Technical Account Managers, and AWS Service Developers to partner with customers to solve hard problems with data. Every day, you'll be working with AWS Services and Data Labs Customers to determine the optimal implementation, build it, prove it works, extract documents and CloudFormation templates to speed project delivery. If you are builder, and love data, then this could be your ideal job!Roles & Responsibilities· Understand customer requirements and render those as architectural models that will operate at large scale and high performance. Where customers have architectures prepared, validate them against non-functional requirements and finalize the build model.· Work alongside customers to build data management platforms using Elastic Map Reduce (EMR), Redshift, Kinesis, Amazon Machine Learning, Amazon Athena, Lake Formation, S3, AWS Glue, DynamoDB, ElastiCache and the Relational Database Service (RDS)· Render working, high performance data management solutions, as CloudFormation and reusable artifacts for implementation by the customer· Prepare architecture and design briefs that outline the key features and decision points of the application built in the Data Lab· Work with customers to advise on changes as they put these systems live on AWS· Extract best-practice knowledge, reference architectures, and patterns from these engagements for sharing with the worldwide AWS solution architect community· Hands on experience leading large-scale global database, data warehousing and analytics projects.· Demonstrated industry leadership in the fields of Database and/or Data Warehousing, Data Sciences and Big Data processing.· Deep understanding of data, application, server, and network security· Experience with Statistics, Machine Learning and Predictive Modelling.· Hands on experience as a database, data warehouse, big data/analytics developer or administrator, or work as a data scientist.· Experience working within the software development or Internet industries is highly desired.· Technical degrees in computer science, software engineering, or mathematics· Working knowledge of modern software development practices and technologies such as agile methodologies and DevOps.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",3.9,"Amazon.com Services LLC
3.9","Seattle, WA",-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
7,Principal Scientist/Director-Immunology,-1,"Scismic *is supporting the growth of an early stage venture backed biotechnology company creating novel RNA Therapeutics!We are seeking an exceptional researcher to join our team as a Principal Scientist or Director to join a team to design and evaluate candidate therapies for the treatment of cancer and autoimmune diseases. The ideal candidate is an immunologist with molecular and/or cellular training with experience in using gain-of-function techniques (transgenes, gene therapy, gene editing) to engineer immune cells to create therapeutic candidates. They will be able to lead a scientific team; possess strong oral and written communication capabilities; demonstrate excellent collaboration & interpersonal skills for matrix-based and extra-mural interactions; and be adept at problem solving in a dynamic environment.*Responsibilities*Lead a team of scientists to expand our therapeutic pipeline by:-Evaluating oRNA constructs to express proteins of interestEvaluation oRNA constructs and formulation in relevant human and animal cell lines-Evaluation oRNA constructs and formulations in in-house animal modelsAs needed, lead collaborations with extramural groups (CROs or academics) to design and execute evaluation of candidate oRNA formulations in established animal models.-Actively participate within project teams and collaborate across interdisciplinary R&D programs.-Independently design rigorous experiments, interpret data, and communicate findings in well-articulated presentations.-Contribute to a positive and exciting work environment, contributing to a strong, entrepreneurial and creative culture.*Qualifications*-Passionate, adaptable scientist looking to make an impact in a biotech startup environment.-PhD or equivalent in immunology with 5+ years of postgraduate research experience in the pharmaceutical or biotech industry.-Proven track record of scientific excellence as demonstrated by publications and/or patents.-Expertise leading teams in the following areas: Molecular mechanisms of immuno-oncology and/or autoimmunity-Engineering immune cell effector or regulatory function (ideally both)-Animal models of cancer and autoimmune diseaseNew modality therapies, such as RNA, gene therapy or gene editingProtein and nucleic acid manipulationJob Type: Full-timeBenefits:* 401(k)* Dental insurance* Health insurance* Paid time off* Vision insuranceSchedule:* Monday to FridayWork Remotely:* No",-1,Scismic,"Cambridge, MA",-1,-1,-1,-1,-1,-1,-1,-1
8,Scientist/Senior Scientist - In Vitro Pharmacology,-1,"Sai Life Sciences is looking for Scientists and Senior Scientists of In Vitro Pharmacology for our Cambridge, MA location. For immediate consideration, candidates should apply via the link in this job posting.*Sai Life Sciences Summary: *Sai Life Sciences delivers scientific expertise with a greater purpose – to impact tomorrow’s healthcare by creating medicines for today’s incurable maladies. We work with leading innovative pharma and biotech companies to accelerate the discovery, development and manufacture of complex small molecules for a healthier tomorrow. Our vision is to support our global innovator partners and bring 25 new medicines to life by 2025.*What You Will Be Doing: *These roles will work collaboratively with members of the Sai biology group and will interface with our biopharma clients. The Scientist/Senior Scientist will also assist with and sometimes take the lead on the design, development, and implementation of in vitro experiments to address the unique needs of our individual partners with the goal to build lasting business relationships. These positions report to the VP of Global Biology and are located in Cambridge, Massachusetts.*Duties/Responsibilities: *Analyze assay readouts and statistical analysisSolve complex problems, independently troubleshoot and deliver results in a fast-paced environmentEffectively work in team environment across multiple projectsMentor Research Associates and entry-level ScientistsSet appropriate timelines and expectations for self in regards to projects and experimentsBe responsible for the integrity and quality of data developed from experimentsDemonstrated adaptability and desire to learn new skills and core competencies*Required Qualifications: *Proven experience developing biochemical assays and adapting established assays for higher throughput applicationsExtensive practical enzymology, biochemistry, and molecular biology knowledgeExperience in medium-throughput screening methodologies and automationExperience in in vitro assays against diverse targets using multiple detection modalitiesHands-on experience with mammalian cell culture and cell-based assaysStrong interpersonal and collaboration skills with clear and effective communication skills to build positive relationships with our partnersDeep sense of scientific excellence and integrity*Preferred Qualifications: *B.S. with 10+ years or M.S/Ph.D. with 5+ years of relevant experience preferably in bio-pharmaceutical/ life science industryExperience in oncology, immunology, or neuroscienceExperience in stem cell biology and/or 3D cell cultureHands-on experience with flow cytometry to analyze immune cellsExperience with high content microscopy and genetic target modulation (siRNA, shRNA, CRISPR)*Physical Requirements: *Prolonged periods of sitting at a desk, standing in a lab and working on a computer.Ability to safely travel to various physical locations.Must be able to lift 15 pounds at times.*What Sai Can Offer You: *Competitive salary to commensurate with experienceAnnual bonus100% Company-paid medical, dental, vision, life, AD & D, short-term and long-term disability insurance401(k) plan and a large company matchGenerous time off for vacations and sick timePaid holidaysFree onsite parkingJob Type: Full-timeBenefits:* 401(k)* 401(k) Matching* Dental Insurance* Disability Insurance* Employee Assistance Program* Flexible Schedule* Flexible Spending Account* Health Insurance* Life Insurance* Paid Time Off* Parental Leave* Professional Development Assistance* Referral Program* Relocation Assistance* Retirement Plan* Vision InsuranceSchedule:* Monday to FridayLocation:* Cambridge, MA 02139 (Required)Work authorization:* United States (Required)Application Question:* What is your current location? Please list city and state.Additional Compensation:* BonusesCompany's website:* www.sailife.comBenefit Conditions:* Only full-time employees eligibleWork Remotely:* No",3.4,"Sai Life Sciences
3.4","Cambridge, MA",-1,1001 to 5000 Employees,1999,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),-1
9,BS/MS Oncology Immune Cell-Engaging Therapy Scientist,-1,"At Novartis, we serve ONE purpose – to reimagine medicine! We are seeking a passionate and innovative Scientist to join the Biotherapeutics Team within the Oncology group in the Novartis Institute for Biomedical Research (NIBR) located in Cambridge, MA. We are dedicated to the innovation of transformative immune cell-engaging antibody therapeutics for Oncology as we develop breakthrough medicine for our patients.The successful candidate will become a key contributor in a dynamic and multidisciplinary biotherapeutics discovery team tackling multiple oncology targets. The candidate will work towards advancing our innovative antibody therapeutics that engage immune cells to target cancer cells. The high quality data generated will directly impact the discovery of novel therapeutics for evaluation in clinical trials. This position is ideal for talented, highly motivated, collaborative and results-oriented individuals wishing to combine their interest in oncology, cancer immunology and drug discovery to save patients’ lives.As a scientific and technical expert, the candidate’s responsibilities include but are not limited to:•Identify and provide innovative solutions to complex problems•Initiate and carry out novel research and technical activities•Critically analyze, interpret and challenge results with a firm grasp of scientific process and innovation.•Collaboratively drive projects to meet established timelines while maintaining the highest quality and data integrity standards•Comply with established protocols and SOPs while performing experiments•Record and maintain meticulous records in electronic laboratory notebook. Contribute to drafting of research and regulatory documents.•Communicate and coordinate activity with other functional groups on highly collaborative teams. Present results to project teams and at department meetingsMinimum Requirements1.BS/MS with a minimum of 3 years prior experience in academia or industry in the field of cancer biology and/or immunology.2.Extensive hands-on expertise in molecular and cellular biology experiments, especially in immune cell isolation and functional assays (i.e. activity, cytokine release, proliferation and phenotyping).3.Proficiency at designing and executing multi-color flow cytometry assays and data analysis is highly desirable.4.Experience in signal transduction, high-resolution imaging analysis and/or high-throughput instruments is a plus.Why consider Novartis?799 million. That’s how many lives our products touched in 2019. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.Imagine what you could do at Novartis!Commitment to Diversity & Inclusion:Novartis embraces diversity, equal opportunity and inclusion. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusive workplace that cultivates bold innovation through collaboration, and empowers our people to unleash their full potential.The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or any other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, marital or veteran status, disability, or any other legally protected status.",4.0,"Novartis
4.0","Cambridge, MA",-1,10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
